ai-seo-pagescore	node_replit	8101	5000
asbestos-atlas	node_replit	8102	5000
btucalc	node_replit	8103	5000
dog-bite-map	node_replit	8104	5000
free-seo-tools-page	node_replit	8105	5000
header-hierarchy	node_replit	8106	5000
intent-discover	node_replit	8107	5000
keyword-mixer	node_replit	8108	5000
legal-lens	node_replit	8109	5000
legal-napaudit	node_replit	8110	5000
legal-revamp	node_replit	8111	5000
legal-schema-gen	node_replit	8112	5000
link-auditor	node_replit	8113	5000
mellino-health-data	python_node_hybrid	8114	3000
meta-describer	node_replit	8115	5000
ohio-care-finder	python_fastapi	8116	5000
ohio-maternity-monitor	node_replit	8117	5000
replit-downloader	node_replit	8118	5000
sales-research-flow	node_replit	8119	5000
semrush-scraper	node_replit	8120	5000
seo-headline-pro	node_replit	8121	5000
serpsnippet-audit	node_replit	8122	5000
text-clarity	node_replit	8123	5000
tube-insight	node_replit	8124	5000
